id,catalog_file,publish,watermark_status,keif_v2_source_path,orb_inliers,match_method,has_equivalent_in_images-watermarked/web
260,keif-aldiafa-service-erksous-juice-carrier-levantine-costume-night-2.webp,yes,double,public/images/services/male/sawas/sawas-1.webp,621,آلي,yes
261,keif-aldiafa-service-erksous-juice-carrier-pouring-cup-night-3.webp,yes,double,public/images/services/sawas/sawas-main.webp,1121,آلي,yes
262,keif-aldiafa-service-erksous-tamarind-juice-carrier-levantine-costume-night-1.webp,yes,double,public/images/services/male/sawas/sawas-2.webp,554,آلي,yes
263,keif-aldiafa-service-folk-drummers-performance-red-carpet-night.webp,yes,double,public/images/services/artistic/folkband/folkband-1.webp,1135,آلي,yes
264,keif-aldiafa-service-hand-henna-artist-applying-design.webp,yes,single_ok,public/images/services/artistic/artist/artist-6.webp,997,آلي,yes
265,keif-aldiafa-service-hand-lifting-decorative-arabic-coffee-cup.webp,yes,double,public/images/services/artistic/artist/artist-2.webp,566,آلي,yes
266,keif-aldiafa-service-hands-drawing-on-cutout-shapes.webp,yes,single_ok,public/images/services/artistic/artist/artist-4.webp,849,آلي,yes
267,keif-aldiafa-service-henna-artist-station-outdoor-tent-night-1.webp,yes,double,public/images/services/artistic/artist/artist-8.webp,1233,آلي,yes
268,keif-aldiafa-service-henna-artist-station-outdoor-tent-night-2-closeup.webp,yes,double,public/images/services/artistic/artist/artist-9.webp,1304,آلي,yes
269,keif-aldiafa-service-heritage-tent-sadu-majlis-indoor-hall-1.webp,yes,single_ok,public/images/services/artistic/heritage-tent/tent-2.webp,1263,آلي,yes
270,keif-aldiafa-service-heritage-tent-sadu-majlis-outdoor-turf-2.webp,yes,single_ok,public/images/services/artistic/heritage-tent/tent-4.webp,1253,آلي,yes
271,keif-aldiafa-service-man-serving-traditional-cups-with-golden-stand.webp,yes,double,public/images/services/sawas/sawas-style-1.webp,1151,آلي,yes
272,keif-aldiafa-service-men-using-mirror-photo-booth.webp,yes,single_ok,public/images/services/artistic/photo-booth/photo-booth-4.webp,858,آلي,yes
273,keif-aldiafa-service-mirror-photo-booth-red-carpet-corporate-lobby.webp,yes,double,public/images/services/artistic/photo-booth/photo-booth-5.webp,1012,آلي,yes
274,keif-aldiafa-service-saudi-ardah-folk-troupe-drums-flag-night-garden.webp,yes,double,public/images/services/artistic/folkband/folkband-2.webp,627,آلي,yes
275,keif-aldiafa-service-street-beverage-vendor-dallah-traditional-fez.webp,yes,double,public/images/services/sawas/sawas-style-3.webp,799,آلي,yes
276,keif-aldiafa-generic-fruit-parfait-honey-stock.webp,decorative,double,public/images/cold-drinks/fresh-juice.webp,309,آلي,yes
277,keif-aldiafa-generic-grapes-closeup-stock.webp,decorative,double,public/images/fruits/saudi-red-green-grapes-premium-catering-fruit.webp,1137,آلي,yes
278,keif-aldiafa-generic-kiwi-slices-closeup-stock.webp,decorative,double,public/images/fruits/saudi-fresh-sliced-kiwi-luxury-hospitality-fruit.webp,448,آلي,yes
279,keif-aldiafa-generic-mixed-berries-red-bowl-stock.webp,decorative,double,public/images/fruits/saudi-mixed-berries-bowl-premium-catering-fruit.webp,855,آلي,yes
280,keif-aldiafa-generic-pineapple-chunks-bowl.webp,decorative,double,public/images/fruits/saudi-fresh-pineapple-slices-premium-catering-fruit.webp,—,يدوي,yes
281,keif-aldiafa-generic-social-banner-safraji-waiters-service-design.webp,decorative,double,public/images/services/male/safarjia/safarjia-1.webp,923,آلي,yes
282,keif-aldiafa-generic-social-banner-zamzam-saqya-service-design.webp,decorative,double,public/images/services/male/souqiya/souqiya-1.webp,275,آلي,yes
283,keif-aldiafa-generic-stock-assorted-canapes-on-slate-board.webp,decorative,single_ok,public/images/snacks/saudi-gourmet-finger-food-assortment-canapes-vip.webp,1076,آلي,yes
284,keif-aldiafa-generic-stock-assorted-pastries-plates.webp,decorative,double,public/images/pastry/assorted-pastry.webp,1043,آلي,yes
285,keif-aldiafa-generic-stock-bowl-of-glossy-dates-on-white.webp,decorative,double,public/images/dates/dates-plain.webp,1263,آلي,yes
286,keif-aldiafa-generic-stock-bruschetta-slate-serving-with-olive-oil.webp,decorative,double,public/images/snacks/saudi-italian-bruschetta-tomato-basil-luxury-appetizer.webp,1070,آلي,yes
287,keif-aldiafa-generic-stock-cheese-sandwich-on-white-plate.webp,decorative,double,public/images/sandwiches/saudi-catering-grilled-chicken-sandwich-lettuce-cheese.webp,37,آلي,yes
288,keif-aldiafa-generic-stock-chocolate-filled-croissants-on-plate.webp,decorative,double,public/images/sweets/chocolate-croissant.webp,782,آلي,yes
289,keif-aldiafa-generic-stock-crispy-fried-bites-with-mustard-dip.webp,decorative,double,public/images/snacks/saudi-crispy-chicken-popcorn-bites-honey-mustard.webp,1207,آلي,yes
290,keif-aldiafa-generic-stock-dark-beverage-with-mint-lemon-and-brown-pods.webp,decorative,double,public/images/cold-drinks/tamarind.webp,281,آلي,yes
291,keif-aldiafa-generic-stock-dates-in-silver-dish.webp,decorative,single_ok,public/images/dates/dates-assorted.webp,284,آلي,yes
292,keif-aldiafa-generic-stock-fried-cheese-croquettes-with-dipping-sauce.webp,decorative,double,public/images/snacks/saudi-golden-potato-cheese-croquettes-luxury-catering.webp,894,آلي,yes
293,keif-aldiafa-generic-stock-fruit-parfait-trio-glasses.webp,decorative,double,public/images/cold-drinks/smoothie.webp,463,آلي,yes
294,keif-aldiafa-generic-stock-fruit-topped-puff-pastries-on-stand.webp,decorative,double,public/images/pastry/fruit-pie.webp,696,آلي,yes
295,keif-aldiafa-generic-stock-glass-of-red-drink-with-petals-and-straw.webp,decorative,double,public/images/cold-drinks/sobia.webp,440,آلي,yes
296,keif-aldiafa-generic-stock-halved-fig-and-whole-fig-on-table.webp,decorative,double,public/images/fruits/saudi-fresh-figs-luxury-hospitality-fruit.webp,433,آلي,yes
297,keif-aldiafa-generic-stock-iced-coffee-glass-on-marble-table.webp,decorative,double,public/images/cold-drinks/iced-latte.webp,436,آلي,yes
298,keif-aldiafa-generic-stock-kunafa-melted-cheese-on-fork.webp,decorative,double,public/images/sweets/kunafa.webp,396,آلي,yes
299,keif-aldiafa-generic-stock-loaded-nachos-with-cheese-guacamole-sour-cream.webp,decorative,double,public/images/snacks/saudi-loaded-nachos-cheese-jalapeno-vip-snacks.webp,1163,آلي,yes
300,keif-aldiafa-generic-stock-mini-flatbreads-with-various-toppings-on-board.webp,decorative,double,public/images/pastry/appetizers.webp,737,آلي,yes
301,keif-aldiafa-generic-stock-mini-margherita-pizzas-on-slate.webp,decorative,double,public/images/snacks/saudi-mini-margherita-pizza-luxury-catering-finger-food.webp,796,آلي,yes
302,keif-aldiafa-generic-stock-mint-lime-mojito-bottle-poolside.webp,decorative,single_ok,public/images/cold-drinks/mojito.webp,307,آلي,yes
303,keif-aldiafa-generic-stock-mozzarella-sticks-on-slate-with-marinara.webp,decorative,double,public/images/snacks/saudi-crispy-mozzarella-cheese-sticks-marinara-snacks.webp,819,آلي,yes
304,keif-aldiafa-generic-stock-plate-of-spring-rolls-with-chili-sauce.webp,decorative,double,public/images/snacks/saudi-crispy-spring-rolls-sweet-chili-luxury-snacks.webp,630,آلي,yes
305,keif-aldiafa-generic-stock-pomegranate-half-on-white.webp,decorative,double,public/images/fruits/saudi-fresh-pomegranate-premium-catering-fruit.webp,876,آلي,yes
306,keif-aldiafa-generic-stock-potato-wedges-slate-dip.webp,decorative,double,public/images/snacks/saudi-crispy-golden-potato-wedges-rosemary-catering.webp,960,آلي,yes
307,keif-aldiafa-generic-stock-red-iced-drink-with-mint-garnish.webp,decorative,double,public/images/cold-drinks/karkade.webp,849,آلي,yes
308,keif-aldiafa-generic-stock-ripe-mango-cubes-on-gray-surface.webp,decorative,double,public/images/fruits/saudi-fresh-mango-cubes-luxury-hospitality-fruit.webp,—,يدوي,yes
309,keif-aldiafa-generic-stock-sandwich-cheese-lettuce-tomato-on-white-plate.webp,decorative,double,public/images/sandwiches/saudi-catering-turkey-sandwich-soft-roll-tomato.webp,—,يدوي,yes
310,keif-aldiafa-generic-stock-sandwich-on-white-plate-on-stainless-counter.webp,decorative,double,public/images/sandwiches/saudi-catering-smoked-turkey-cheese-tomato-sandwich.webp,—,يدوي,yes
311,keif-aldiafa-generic-stock-seeded-bun-sandwich-with-lettuce.webp,decorative,double,public/images/sandwiches/saudi-catering-chicken-cheese-sandwich-long-roll.webp,317,آلي,yes
312,keif-aldiafa-generic-stock-sesame-bun-chicken-salad-sandwich-on-white-plate.webp,decorative,double,public/images/sandwiches/saudi-catering-tuna-sandwich-sesame-bun.webp,31,آلي,yes
313,keif-aldiafa-generic-stock-sesame-coated-balls-with-cream-filling.webp,decorative,single_ok,public/images/dates/khalas-sesame-tahini.webp,1035,آلي,yes
314,keif-aldiafa-generic-strawberries-closeup-stock.webp,decorative,double,public/images/fruits/saudi-fresh-strawberries-luxury-hospitality-fruit.webp,871,آلي,yes
