id,file,action,stamps_before,faces_covered_before,stamps_after,faces,faces_covered_after,logo_width_frac,logo_cx,logo_cy,w,h,kb
184,keif-aldiafa-equipment-gold-and-glass-multi-tier-stand.webp,restored,1,0,1,0,0,,,,900,1200,99
185,keif-aldiafa-equipment-gold-dallah-arabic-coffee-pot.webp,restored,1,0,1,0,0,,,,1080,1080,48
186,keif-aldiafa-equipment-gold-dallah-blue-pattern-background-catalog.webp,restored,0,0,0,0,0,,,,1080,1080,38
187,keif-aldiafa-equipment-gold-emblem-porcelain-coffee-cups.webp,restored,1,0,1,0,0,,,,1080,1080,54
188,keif-aldiafa-equipment-gold-glass-multi-tier-serving-stand.webp,restored,1,0,1,0,0,,,,900,1200,97
189,keif-aldiafa-equipment-gold-glass-tea-stand-table.webp,rebuilt-1-center,1,0,1,0,0,0.34,0.5,0.61,900,1200,111
190,keif-aldiafa-equipment-gold-pitchers-tripod-stands-orchid-centerpiece.webp,rebuilt-1-center,1,0,1,2,0,0.34,0.5,0.61,900,1200,167
191,keif-aldiafa-equipment-gold-rimmed-porcelain-cups-on-gold-tray.webp,rebuilt-1-center,1,1,1,2,0,0.3,0.24,0.45,900,1200,49
192,keif-aldiafa-equipment-gold-tea-glass-tree-stand-white-table.webp,rebuilt-1-center,0,0,1,0,0,0.28,0.5,0.58,1200,675,87
193,keif-aldiafa-equipment-gold-tray-clear-glasses-palm-motif.webp,restored,1,0,1,0,0,,,,900,1200,80
194,keif-aldiafa-equipment-golden-brass-pitchers-set-collection.webp,rebuilt-1-center,0,0,1,0,0,0.34,0.5,0.61,280,307,14
195,keif-aldiafa-equipment-golden-dallah-and-cups-display.webp,rebuilt-1-center,1,1,1,1,0,0.34,0.5,0.68,900,1200,85
196,keif-aldiafa-equipment-golden-dallah-coffee-pot-on-glass-table.webp,rebuilt-1-center,1,0,1,2,0,0.34,0.5,0.61,678,678,47
197,keif-aldiafa-equipment-golden-dallah-coffee-pot-product-shot.webp,restored,1,0,1,0,0,,,,1080,1080,42
198,keif-aldiafa-equipment-golden-decorative-vessel-on-marble-table.webp,rebuilt-1-center,1,1,1,1,0,0.34,0.36,0.61,900,1200,70
199,keif-aldiafa-equipment-metal-dallah-coffee-pot-product-display.webp,restored,1,0,1,0,0,,,,1080,1080,48
