id,file,action,stamps_before,faces_covered_before,stamps_after,faces,faces_covered_after,logo_width_frac,logo_cx,logo_cy,w,h,kb
12,keif-aldiafa-event-saudi-electricity-company-anti-corruption-day-qahwajiin-coffee-stand.webp,restored,1,0,1,2,0,,,,720,1178,91
13,keif-aldiafa-event-saudi-national-day-92-carved-watermelon-banquet-hall.webp,restored,1,0,1,1,0,,,,1200,900,133
14,keif-aldiafa-event-saudia-awqaf-exhibition-qahwaji-floral-reception.webp,restored,1,0,1,7,0,,,,703,1200,158
15,keif-aldiafa-event-saudia-group-cybersecurity-awareness-qahwaji-arabic-coffee.webp,restored,1,0,1,1,0,,,,900,1200,127
16,keif-aldiafa-event-turkish-pilgrims-affairs-office-alrifadah-qahwaji-exhibition.webp,restored,1,0,1,1,0,,,,900,1200,86
17,keif-aldiafa-event-umm-al-qura-university-investment-booth-qahwaji-1.webp,rebuilt-1-center,1,0,1,1,0,0.34,0.5,0.61,720,1178,102
18,keif-aldiafa-event-umm-al-qura-university-investment-booth-qahwaji-2.webp,rebuilt-1-center,1,0,1,2,0,0.34,0.5,0.61,720,1178,98
19,keif-aldiafa-event-75-years-heritage-company-qahwaji-dates-palm-display-1.webp,rebuilt-1-center,2,0,1,1,0,0.34,0.5,0.61,675,1200,205
20,keif-aldiafa-event-75-years-heritage-company-qahwaji-dates-palm-display-2.webp,rebuilt-1-center,1,0,1,1,0,0.34,0.5,0.61,675,1200,197
21,keif-aldiafa-event-adidas-hackett-london-store-mirror-photo-booth.webp,rebuilt-1-center,2,0,1,1,0,0.34,0.5,0.61,718,1200,129
22,keif-aldiafa-event-ajdal-jeddah-alinma-investment-qahwaji-exhibition.webp,rebuilt-1-center,1,1,1,3,0,0.34,0.5,0.82,900,1200,95
23,keif-aldiafa-event-al-amjaad-trading-manufacturing-vip-welcome-qahwajiin.webp,restored,1,0,1,2,0,,,,720,1140,70
24,keif-aldiafa-event-al-borg-diagnostics-labs-qahwaji-dates-coffee-1.webp,rebuilt-1-center,1,0,1,2,0,0.34,0.5,0.61,900,1200,154
25,keif-aldiafa-event-al-borg-diagnostics-labs-qahwaji-dates-coffee-2.webp,rebuilt-1-center,1,0,1,1,0,0.34,0.5,0.61,900,1200,178
26,keif-aldiafa-event-al-borg-diagnostics-labs-qahwaji-dates-coffee-3.webp,rebuilt-1-center,1,0,1,1,0,0.34,0.5,0.61,900,1200,154
27,keif-aldiafa-event-al-miftah-showroom-qahwaji-dallah.webp,rebuilt-1-center,1,1,1,1,0,0.34,0.5,0.68,900,1200,45
28,keif-aldiafa-event-al-rayyan-al-makkiya-hotels-sadaa-qahwaji-exhibition.webp,rebuilt-1-center,1,0,1,1,0,0.34,0.5,0.61,900,1200,110
29,keif-aldiafa-event-al-safeer-watania-qahwaji-hostess-exhibition.webp,rebuilt-1-center,1,2,1,2,0,0.28,0.24,0.58,1200,903,94
30,keif-aldiafa-event-al-wessam-transport-exhibition-booth-qahwaji.webp,rebuilt-1-center,1,1,1,1,0,0.34,0.5,0.68,675,1200,138
31,keif-aldiafa-event-alinma-kayan-qahwaji-dallah-exhibition.webp,rebuilt-1-center,1,1,1,4,0,0.34,0.5,0.45,900,1200,130
32,keif-aldiafa-event-almana-medical-group-qahwaji-booth-wide-3.webp,rebuilt-1-center,0,0,1,1,0,0.34,0.5,0.68,960,1200,62
33,keif-aldiafa-event-almana-medical-group-qahwaji-exhibition-1.webp,restored,1,0,1,1,0,,,,900,1200,50
34,keif-aldiafa-event-almana-medical-group-qahwaji-pouring-coffee-2.webp,restored,1,0,1,1,0,,,,960,1200,58
35,keif-aldiafa-event-alrifadah-pilgrims-services-qahwaji-exhibition.webp,rebuilt-1-center,1,0,1,1,0,0.34,0.5,0.61,900,1200,71
36,keif-aldiafa-event-alwagehat-algharbiya-contracting-qahwaji-dates.webp,rebuilt-1-center,1,1,1,4,0,0.34,0.5,0.75,675,1200,106
37,keif-aldiafa-event-amak-mining-company-qahwaji-exhibition.webp,restored,1,0,1,1,0,,,,900,1200,74
38,keif-aldiafa-event-amjad-alsalam-hotels-qahwaji-exhibition.webp,rebuilt-1-center,1,0,1,6,0,0.34,0.5,0.61,900,1200,120
39,keif-aldiafa-event-anjum-hotel-makkah-qahwaji-exhibition.webp,rebuilt-1-center,1,0,1,2,0,0.34,0.5,0.61,900,1200,112
40,keif-aldiafa-event-basma-emaar-group-umrah-exhibition-qahwaji.webp,rebuilt-1-center,1,0,1,4,0,0.34,0.5,0.61,720,1178,135
41,keif-aldiafa-event-bci-basic-chemical-industries-qahwaji-dates-exhibition.webp,rebuilt-1-center,1,0,1,1,0,0.34,0.5,0.61,900,1200,68
42,keif-aldiafa-event-bolt-jeddah-chamber-exhibition-two-qahwajiin-coffee-dates.webp,restored,1,0,1,4,0,,,,675,1200,95
43,keif-aldiafa-event-bon-cafe-qahwaji-black-daglah-exhibition.webp,rebuilt-1-center,1,1,1,2,0,0.34,0.5,0.68,900,1200,85
44,keif-aldiafa-event-brunello-cucinelli-de-beers-mall-qahwaji-red-shemagh.webp,rebuilt-1-center,1,0,1,1,0,0.28,0.5,0.58,1200,675,75
45,keif-aldiafa-event-dallah-albaraka-namaa-qahwaji-exhibition-1.webp,rebuilt-1-center,1,1,1,1,0,0.34,0.5,0.68,900,1200,106
46,keif-aldiafa-event-dallah-albaraka-qahwaji-exhibition-2.webp,rebuilt-1-center,1,0,1,1,0,0.34,0.5,0.61,900,1200,65
47,keif-aldiafa-event-dallah-albaraka-qahwaji-exhibition-3.webp,rebuilt-1-center,1,1,1,1,0,0.34,0.5,0.68,900,1200,58
48,keif-aldiafa-event-dallah-albaraka-qahwaji-pouring-coffee-4.webp,rebuilt-1-center,1,0,1,2,0,0.34,0.5,0.68,674,1200,78
49,keif-aldiafa-event-dallah-haj-transport-booth-qahwaji.webp,rebuilt-1-center,1,0,1,2,0,0.34,0.5,0.61,727,1200,67
50,keif-aldiafa-event-dallah-taibah-hotel-madinah-qahwaji-exhibition.webp,rebuilt-1-center,1,0,1,2,0,0.34,0.5,0.61,900,1200,127
51,keif-aldiafa-event-dareen-travel-agency-qahwaji-exhibition.webp,rebuilt-1-center,1,1,1,2,0,0.34,0.5,0.68,900,1200,81
52,keif-aldiafa-event-dawood-trading-company-lobby-qahwaji-golden-dallah.webp,restored,1,0,1,1,0,,,,675,1200,87
53,keif-aldiafa-event-dragon-city-jeddah-grand-opening-qahwajiin-stage-1.webp,rebuilt-1-center,1,3,1,3,0,0.34,0.5,0.75,900,1200,109
54,keif-aldiafa-event-dragon-city-jeddah-grand-opening-two-qahwajiin-red-carpet-2.webp,rebuilt-1-center,1,0,1,2,0,0.34,0.5,0.61,900,1200,96
55,keif-aldiafa-event-flyadeal-airline-booth-qahwaji-arabic-coffee.webp,rebuilt-1-center,2,0,1,1,0,0.34,0.5,0.61,691,1200,52
56,keif-aldiafa-event-foot-locker-adidas-red-sea-mall-photo-mirror-customers.webp,rebuilt-1-center,1,0,1,1,0,0.34,0.5,0.61,900,1200,134
57,keif-aldiafa-event-foot-locker-american-eagle-national-day-printed-tote-bags.webp,restored,1,0,1,2,0,,,,900,1200,102
58,keif-aldiafa-event-foot-locker-new-balance-coffee-kiosk-qahwaji-1.webp,rebuilt-1-center,1,2,1,4,0,0.34,0.36,0.68,900,1200,129
59,keif-aldiafa-event-foot-locker-new-balance-coffee-kiosk-qahwaji-2.webp,rebuilt-1-center,1,1,1,3,0,0.34,0.36,0.61,900,1200,128
60,keif-aldiafa-event-foot-locker-store-arabic-calligraphy-station.webp,rebuilt-1-center,1,0,1,1,0,0.34,0.5,0.61,900,1200,149
61,keif-aldiafa-event-gaib-furniture-arabic-calligrapher-tote-bag.webp,restored,1,0,1,0,0,,,,828,928,41
62,keif-aldiafa-event-gaib-furniture-calligrapher-writing-sarah-tote-2.webp,rebuilt-1-center,0,0,1,0,0,0.34,0.5,0.61,828,928,44
63,keif-aldiafa-event-glory-of-luxury-dar-alfakhama-booth-qahwaji.webp,restored,1,0,1,1,0,,,,720,1178,84
64,keif-aldiafa-event-hafil-transport-exhibition-booth-qahwaji.webp,rebuilt-1-center,1,0,1,1,0,0.34,0.5,0.61,720,1178,99
65,keif-aldiafa-event-hilmuna-al-ghalya-wall-qahwaji-black-daglah.webp,rebuilt-1-center,0,0,1,1,0,0.34,0.5,0.61,675,1200,63
66,keif-aldiafa-event-iconica-boutique-opening-mall-qahwaji.webp,rebuilt-1-center,1,0,1,0,0,0.28,0.5,0.58,1200,903,62
67,keif-aldiafa-event-ishraq-almadina-mias-sunrise-hotels-axiscare-qahwaji.webp,restored,1,0,1,1,0,,,,900,1200,107
68,keif-aldiafa-event-jeddah-central-development-company-qahwaji-vip-guests.webp,rebuilt-1-center,1,1,1,6,0,0.28,0.5,0.72,638,570,38
69,keif-aldiafa-event-luxury-menswear-boutique-qahwaji-coffee-sweets.webp,rebuilt-1-center,1,0,1,1,0,0.34,0.5,0.61,900,1200,102
70,keif-aldiafa-event-makkah-hotel-towers-mcdc-qahwaji-exhibition-1.webp,restored,1,0,1,1,0,,,,900,1200,82
71,keif-aldiafa-event-makkah-hotel-towers-mcdc-qahwaji-pouring-coffee-2.webp,restored,1,0,1,1,0,,,,678,1200,48
72,keif-aldiafa-event-makkiyoon-golden-qahwaji-exhibition-makkah.webp,restored,1,0,1,1,0,,,,900,1200,127
73,keif-aldiafa-event-manasik-almashaer-ghufranak-qahwaji-hajj-expo-1.webp,restored,1,0,1,1,0,,,,900,1200,86
74,keif-aldiafa-event-manasik-almashaer-ghufranak-qahwaji-hajj-expo-2.webp,restored,1,0,1,1,0,,,,900,1200,81
75,keif-aldiafa-event-millennium-hotels-resorts-qahwaji-exhibition.webp,restored,1,0,1,1,0,,,,900,1200,91
76,keif-aldiafa-event-nahda-park-view-113-real-estate-qahwaji-jeddah.webp,rebuilt-1-center,1,1,1,1,0,0.34,0.5,0.75,900,1200,82
77,keif-aldiafa-event-najeeb-auto-jimny-ksa-club-qahwaji-dates.webp,rebuilt-1-center,1,0,1,4,0,0.34,0.5,0.61,540,1200,60
78,keif-aldiafa-event-najeeb-auto-suzuki-showroom-qahwaji-dates-palm-counter-3.webp,restored,1,0,1,1,0,,,,900,1200,77
79,keif-aldiafa-event-nayifat-finance-qahwaji-exhibition.webp,rebuilt-1-center,1,0,1,4,0,0.34,0.5,0.61,903,1200,132
80,keif-aldiafa-event-new-balance-kiehls-store-interactive-photo-mirror.webp,rebuilt-1-center,1,0,1,3,0,0.34,0.5,0.61,675,1200,85
81,keif-aldiafa-event-omoda-c5-car-launch-mirror-photo-booth.webp,restored,1,0,1,3,0,,,,900,1200,161
82,keif-aldiafa-event-osus-alinsha-contracting-qahwaji-exhibition.webp,rebuilt-1-center,1,1,1,2,0,0.34,0.5,0.75,900,1200,104
83,keif-aldiafa-event-rawahel-almashaer-pilgrims-qahwaji-exhibition.webp,restored,1,0,1,1,0,,,,675,1200,73
84,keif-aldiafa-event-safwat-alshaaer-pilgrims-services-qahwaji-hajj-expo.webp,rebuilt-1-center,2,3,1,4,0,0.34,0.5,0.61,720,870,87
85,keif-aldiafa-event-shs-saja-hospitality-solutions-exhibition-qahwaji.webp,restored,1,0,1,5,0,,,,720,1178,121
86,keif-aldiafa-event-suzuki-najeeb-auto-showroom-qahwaji-balloon-arch-1.webp,restored,1,0,1,1,0,,,,900,1200,71
87,keif-aldiafa-event-suzuki-najeeb-auto-showroom-qahwaji-red-thobe-dates-palm-2.webp,restored,1,0,1,1,0,,,,675,1200,80
88,keif-aldiafa-event-takween-alwatan-support-services-qahwaji-exhibition.webp,rebuilt-1-center,1,1,1,3,0,0.34,0.5,0.75,675,1200,88
89,keif-aldiafa-event-tawkeel-umrah-qahwaji-dates-sweets-exhibition-1.webp,rebuilt-1-center,1,0,1,1,0,0.34,0.5,0.61,675,1200,118
90,keif-aldiafa-event-tawkeel-umrah-qahwaji-pouring-coffee-2.webp,restored,1,0,1,1,0,,,,675,1200,96
91,keif-aldiafa-event-the-private-aviation-company-booth-qahwaji-1.webp,restored,1,0,1,1,0,,,,720,1178,79
92,keif-aldiafa-event-the-private-aviation-company-booth-qahwaji-2.webp,restored,1,0,1,1,0,,,,720,1166,123
93,keif-aldiafa-event-york-hvac-company-lobby-qahwaji-dates-sweets-2.webp,restored,1,0,1,1,0,,,,554,1200,70
94,keif-aldiafa-event-york-hvac-showroom-qahwaji-dates-coffee.webp,restored,1,0,1,2,0,,,,900,1200,164
95,keif-aldiafa-event-mavera-hall-jeddah-incense-mabkhara-server-1.webp,rebuilt-1-center,1,1,1,1,0,0.34,0.5,0.61,864,1184,80
96,keif-aldiafa-event-mavera-hall-jeddah-incense-mabkhara-server-2.webp,restored,1,0,1,1,0,,,,900,1200,88
97,keif-aldiafa-golden-backlit-outdoor-coffee-bar-night-dallahs-incense.webp,rebuilt-1-center,1,0,1,2,0,0.34,0.5,0.61,900,1200,208
98,keif-aldiafa-golden-hospitality-counter-saudi-emblem-server-drinks-station.webp,rebuilt-1-center,1,1,1,3,0,0.28,0.64,0.58,1200,527,94
99,keif-aldiafa-luxury-majlis-gold-columns-buffet-guests-panoramic.webp,rebuilt-nostamp,0,0,0,0,0,,,,1200,509,60
100,keif-aldiafa-mubashirin-lined-along-wedding-hall-aisle-golden-dallahs.webp,restored,1,0,1,4,0,,,,900,1200,132
101,keif-aldiafa-qahwaji-black-daglah-behind-coffee-water-sweets-table.webp,rebuilt-1-center,1,1,1,1,0,0.34,0.5,0.68,720,1178,73
102,keif-aldiafa-qahwaji-black-daglah-carrying-tray-dallah-cups-hotel-lobby.webp,rebuilt-1-center,1,0,1,1,0,0.34,0.5,0.61,681,1200,94
103,keif-aldiafa-qahwaji-lavender-themed-hospitality-corner-camel-cutout.webp,rebuilt-1-center,1,0,1,1,0,0.34,0.5,0.61,737,1200,81
104,keif-aldiafa-qahwaji-red-shemagh-saudi-flag-national-pavilion.webp,rebuilt-1-center,1,0,1,2,0,0.34,0.5,0.68,900,1200,105
105,keif-aldiafa-qahwajiin-incense-and-dallah-majlis-hall-guests-seated.webp,rebuilt-1-center,1,5,1,7,0,0.24,0.64,0.58,1200,900,128
106,keif-aldiafa-qahwajiin-incense-welcome-luxury-hotel-lobby-chandelier.webp,rebuilt-nostamp,0,0,0,0,0,,,,675,1200,70
107,keif-aldiafa-server-black-suit-gold-tray-six-glasses-red-tea.webp,rebuilt-1-center,1,0,1,0,0,0.28,0.5,0.58,1200,1039,176
108,keif-aldiafa-server-gold-tray-four-turkish-coffee-cups-qr-card-roses.webp,rebuilt-1-center,1,0,1,0,0,0.34,0.5,0.61,900,1200,116
109,keif-aldiafa-server-gold-tray-green-tea-glasses-qr-card-white-roses.webp,rebuilt-1-center,1,0,1,0,0,0.34,0.5,0.61,1200,1139,173
110,keif-aldiafa-server-white-jacket-gold-tray-pineapple-ginger-juice.webp,rebuilt-1-center,1,0,1,0,0,0.34,0.5,0.61,900,1200,118
111,keif-aldiafa-team-catering-staff-uniform-apron-badge.webp,rebuilt-1-center,1,0,1,0,0,0.28,0.5,0.58,777,672,40
112,keif-aldiafa-team-female-hospitality-staff-rose-wall-promo.webp,rebuilt-nostamp,0,0,0,7,0,,,,768,1091,85
113,keif-aldiafa-team-female-server-serving-tray-of-tea.webp,rebuilt-1-center,1,0,1,1,0,0.34,0.5,0.61,880,1200,92
114,keif-aldiafa-team-female-staff-lineup-floral-backdrop.webp,restored,1,0,1,6,0,,,,768,1112,68
115,keif-aldiafa-team-five-hostesses-uniform-white-shirt-gloves-rose-wall.webp,rebuilt-1-center,1,2,1,5,0,0.34,0.5,0.75,1024,1024,179
116,keif-aldiafa-team-five-qahwajiin-black-daglah-golden-dallah-wedding-hall.webp,restored,1,0,1,6,0,,,,675,1200,150
117,keif-aldiafa-team-four-male-staff-traditional-dress-standing-indoor.webp,restored,1,0,1,4,0,,,,900,1200,76
118,keif-aldiafa-team-four-masked-servers-group-photo.webp,rebuilt-1-center,1,0,1,4,0,0.34,0.5,0.61,720,1041,50
119,keif-aldiafa-team-four-servers-in-white-tulle-dresses-holding-trays.webp,rebuilt-1-center,2,0,1,9,0,0.34,0.5,0.61,768,1060,52
120,keif-aldiafa-team-fourteen-qahwajiin-black-daglah-lineup-wedding-hall-2.webp,rebuilt-1-center,0,0,1,10,0,0.28,0.5,0.72,1200,900,171
121,keif-aldiafa-team-fourteen-qahwajiin-black-daglah-lineup-wedding-hall-jeddah-1.webp,rebuilt-1-center,0,0,1,9,0,0.28,0.5,0.72,1200,900,141
122,keif-aldiafa-team-golden-tray-karak-chai-tea.webp,restored,1,0,1,0,0,,,,807,639,77
123,keif-aldiafa-team-hospitality-staff-three-uniforms-banner.webp,rebuilt-nostamp,0,0,0,3,0,,,,572,943,34
124,keif-aldiafa-team-man-holding-golden-incense-burner-entrance.webp,rebuilt-1-center,1,0,1,1,0,0.34,0.5,0.61,900,1200,62
125,keif-aldiafa-team-man-in-traditional-attire-holding-dallah.webp,rebuilt-1-center,1,0,1,1,0,0.34,0.5,0.61,675,1200,53
126,keif-aldiafa-team-man-pouring-coffee-from-dallah.webp,rebuilt-1-center,1,0,1,1,0,0.34,0.5,0.68,900,1200,80
127,keif-aldiafa-team-man-served-incense-mabkhara.webp,rebuilt-1-center,1,0,1,1,0,0.34,0.5,0.61,900,1200,99
128,keif-aldiafa-team-man-serving-arabic-coffee-cup.webp,rebuilt-1-center,1,0,1,1,0,0.28,0.5,0.58,1200,801,77
129,keif-aldiafa-team-men-in-traditional-garments-indoor-hall.webp,rebuilt-1-center,1,4,1,5,0,0.34,0.5,0.61,271,300,13
130,keif-aldiafa-team-men-serving-coffee-and-sweets-at-table.webp,rebuilt-1-center,1,0,1,4,0,0.28,0.5,0.65,1200,675,131
131,keif-aldiafa-team-nine-hostesses-rose-wall-womens-services-banner-hires.webp,restored,0,0,0,7,0,,,,768,1091,85
132,keif-aldiafa-team-nine-qahwajiin-black-embroidered-daglah-banquet-hall-2.webp,rebuilt-1-center,1,4,1,9,0,0.28,0.5,0.72,1200,900,141
133,keif-aldiafa-team-nine-qahwajiin-white-thobe-black-vest-luxury-hall.webp,rebuilt-1-center,1,3,1,9,0,0.28,0.5,0.72,1200,900,141
134,keif-aldiafa-team-nine-qahwajiin-white-thobe-black-vest-ornate-hall-2.webp,rebuilt-1-center,1,3,1,9,0,0.28,0.5,0.72,1200,900,141
135,keif-aldiafa-team-person-offering-tray-of-assorted-sweets-embroidered-garment.webp,rebuilt-1-center,1,0,1,0,0,0.34,0.5,0.61,768,1024,105
136,keif-aldiafa-team-person-serving-golden-dallah-coffee.webp,restored,1,0,1,1,0,,,,900,1200,67
137,keif-aldiafa-team-qahwaji-floral-counter-exhibition-hall-tv-screens.webp,rebuilt-1-center,0,0,1,6,0,0.34,0.5,0.61,675,1200,155
138,keif-aldiafa-team-qahwaji-mobile-sadu-table-water-cups-hall.webp,rebuilt-1-center,0,0,1,1,0,0.34,0.5,0.68,675,1200,71
